binary_name,project,algorithm_label,architecture,optimization_level,compiler,compiler_version,build_type,build_system,binary_type,crypto_library,aes_constant,aes_constant_count,aes_symbol,arithmetic_count,basic_block_count_estimate,binary_size,blowfish_constant_count,branch_count,call_count,call_graph_fanout_estimate,cfg_edge_count_estimate,chacha20_constant_count,chacha_symbol,compiler_hints,cyclomatic_complexity_estimate,des_symbol,ecc_curve_p_256,ecc_curve_p_384,ecc_curve_p_521,ecc_curve_secp256k1,ecc_symbol,entropy,entry_point,executable_section_ratio,export_count,function_count,import_count,import_libraries,instruction_count,instruction_entropy,jump_count,known_crypto_library,logical_count,md5_constant,md5_constant_count,memory_count,opcode_bigram_entropy,opcode_bigram_unique_ratio,opcode_trigram_entropy,opcode_trigram_unique_ratio,optimization_hints,readonly_section_ratio,return_count,rsa_exponent_present,rsa_symbol,section_count,segment_count,sha1_constant,sha1_constant_count,sha224_constant_count,sha256_constant_count,sha384_constant_count,sha512_constant_count,sha_constant,sha_symbol,string_count,symbol_count,unique_opcode_ratio,writable_section_ratio,arithmetic_count_was_missing,basic_block_count_estimate_was_missing,branch_count_was_missing,call_count_was_missing,call_graph_fanout_estimate_was_missing,cfg_edge_count_estimate_was_missing,cyclomatic_complexity_estimate_was_missing,executable_section_ratio_was_missing,import_libraries_was_missing,instruction_count_was_missing,instruction_entropy_was_missing,jump_count_was_missing,logical_count_was_missing,memory_count_was_missing,opcode_bigram_entropy_was_missing,opcode_bigram_unique_ratio_was_missing,opcode_trigram_entropy_was_missing,opcode_trigram_unique_ratio_was_missing,readonly_section_ratio_was_missing,return_count_was_missing,unique_opcode_ratio_was_missing,writable_section_ratio_was_missing,project_encoded,architecture_encoded,optimization_level_encoded,compiler_encoded,compiler_version_encoded,build_type_encoded,build_system_encoded,binary_type_encoded,crypto_library_encoded,aes_constant_count_normalized,arithmetic_count_normalized,basic_block_count_estimate_normalized,binary_size_normalized,blowfish_constant_count_normalized,branch_count_normalized,call_count_normalized,call_graph_fanout_estimate_normalized,cfg_edge_count_estimate_normalized,chacha20_constant_count_normalized,cyclomatic_complexity_estimate_normalized,entropy_normalized,entry_point_normalized,executable_section_ratio_normalized,export_count_normalized,function_count_normalized,import_count_normalized,import_libraries_normalized,instruction_count_normalized,instruction_entropy_normalized,jump_count_normalized,logical_count_normalized,md5_constant_count_normalized,memory_count_normalized,opcode_bigram_entropy_normalized,opcode_bigram_unique_ratio_normalized,opcode_trigram_entropy_normalized,opcode_trigram_unique_ratio_normalized,readonly_section_ratio_normalized,return_count_normalized,section_count_normalized,segment_count_normalized,sha1_constant_count_normalized,sha224_constant_count_normalized,sha256_constant_count_normalized,sha384_constant_count_normalized,sha512_constant_count_normalized,string_count_normalized,symbol_count_normalized,unique_opcode_ratio_normalized,writable_section_ratio_normalized
armv8-32-sha256-asm_c__clang_O1_debug.o,wolfssl,SHA256,x86_64,O1,clang,clang (cached build),debug,direct_compile,object,wolfssl,0,0,0,8.0,35.0,688,0,34.0,13.0,0.823529,34.0,0,0,Ubuntu clang version 18.1.3 (1ubuntu1),1.0,0,False,False,False,False,0,2.170834,0,0.0,0,1,0,0.0,197.0,3.1133629999999997,19.0,False,6.0,0,0,114.0,4.617368,0.25608,5.471439,0.407609,likely_release_or_stripped,0.0,3.0,False,0,7,0,0,0,0,0,0,0,0,1,8,1,0.09551399999999999,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0,1,0,0,0,0,0,4,0.0,0.0026050146532074245,0.027530364372469637,3.0396984619125783e-05,0.0,0.027530364372469637,0.013171225937183385,0.022686749311294767,0.027530364372469637,0.0,0.0,0.09787846728808153,0.0,0.0,0.0,0.0,0.0,0.0,0.012476007677543186,0.5737589334097851,0.01890547263681592,0.002028397565922921,0.0,0.012131531339789295,0.6472742840633362,0.24807880658082654,0.6391021329650955,0.3963220330519727,0.0,0.030612244897959183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09333437583951819,0.0
rsa_sign_saltlen_get__clang_O0_debug.o,libtomcrypt,RSA,x86_64,O0,clang,clang (cached build),debug,direct_compile,object,libtomcrypt,0,0,0,6.0,10.0,7192,0,9.0,3.0,0.375,9.0,0,0,Ubuntu clang version 18.1.3 (1ubuntu1),1.0,0,False,False,False,False,0,3.933091,0,0.0,1,8,0,0.0,39.0,3.275905,6.0,False,0.0,0,0,19.0,4.662015,0.736842,5.155399,0.972973,likely_debug_or_unoptimized,0.0,1.0,False,1,22,0,0,0,0,0,0,0,0,0,87,8,0.358974,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0.0,0.0019537609899055682,0.0072874493927125505,0.012386771232293757,0.0,0.0072874493927125505,0.00303951367781155,0.010330578512396695,0.0072874493927125505,0.0,0.0,0.4130734993082639,0.0,0.0,0.013157894736842105,0.03286384976525822,0.0,0.0,0.00236724248240563,0.6178876157773165,0.005970149253731343,0.0,0.0,0.0020219218899648825,0.6535330130536562,0.7340116176231277,0.602186462681229,0.9724580481258082,0.0,0.01020408163265306,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.040805785123966945,0.03286384976525822,0.3574292599408979,0.0
thumb2-sha3-asm_c__gcc_O2_release.o,wolfssl,SHA3,x86_64,O2,gcc,gcc (cached build),release,direct_compile,object,wolfssl,0,0,0,8.0,35.0,944,0,34.0,13.0,0.823529,34.0,0,0,GCC: (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,1.0,0,False,False,False,False,0,2.050088,0,0.0,0,1,0,0.0,197.0,3.1133629999999997,19.0,False,6.0,0,0,114.0,4.617368,0.25608,5.471439,0.407609,likely_release_or_stripped,0.0,3.0,False,0,10,0,0,0,0,0,0,0,0,0,11,1,0.09551399999999999,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0,2,1,1,1,0,0,4,0.0,0.0026050146532074245,0.027530364372469637,0.0005167487385251383,0.0,0.027530364372469637,0.013171225937183385,0.022686749311294767,0.027530364372469637,0.0,0.0,0.07628199223574299,0.0,0.0,0.0,0.0,0.0,0.0,0.012476007677543186,0.5737589334097851,0.01890547263681592,0.002028397565922921,0.0,0.012131531339789295,0.6472742840633362,0.24807880658082654,0.6391021329650955,0.3963220330519727,0.0,0.030612244897959183,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0015495867768595042,0.0,0.09333437583951819,0.0
rsa_x931g__gcc_O3_debug.o,openssl,RSA,x86_64,O3,gcc,gcc (cached build),debug,direct_compile,object,openssl,0,0,0,16.0,97.0,19656,0,96.0,48.0,2.4,96.0,0,0,GCC: (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,1.0,0,False,False,False,False,0,4.303852,0,0.0,2,20,0,0.0,353.0,3.130609,48.0,False,27.0,0,0,160.0,4.847584,0.161932,6.121508,0.333333,likely_debug_or_unoptimized,0.0,2.0,True,1,23,0,0,0,0,0,0,0,0,0,178,20,0.042493,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,3,1,1,0,0,0,3,0.0,0.005210029306414849,0.07773279352226721,0.036066022250592744,0.0,0.07773279352226721,0.0486322188449848,0.06611570247933884,0.07773279352226721,0.0,0.0,0.4793873373391725,0.0,0.0,0.02631578947368421,0.0892018779342723,0.0,0.0,0.022456813819577735,0.5784410663730221,0.04776119402985075,0.009127789046653144,0.0,0.017026710652335852,0.6795465431901645,0.15291820259380062,0.7150347138591687,0.32063083471669807,0.0,0.02040816326530612,0.5925925925925926,0.0,0.0,0.0,0.0,0.0,0.0,0.0878099173553719,0.0892018779342723,0.0401856061972983,0.0
devcrypto_rsa__clang_O2_release.o,wolfssl,RSA,x86_64,O2,clang,clang (cached build),release,direct_compile,object,wolfssl,0,0,0,8.0,35.0,680,0,34.0,13.0,0.823529,34.0,0,0,Ubuntu clang version 18.1.3 (1ubuntu1),1.0,0,False,False,False,False,0,2.089893,0,0.0,0,1,0,0.0,197.0,3.1133629999999997,19.0,False,6.0,0,0,114.0,4.617368,0.25608,5.471439,0.407609,likely_release_or_stripped,0.0,3.0,False,0,7,0,0,0,0,0,0,0,0,0,8,1,0.09551399999999999,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0,2,0,0,1,0,0,4,0.0,0.0026050146532074245,0.027530364372469637,1.5198492309562892e-05,0.0,0.027530364372469637,0.013171225937183385,0.022686749311294767,0.027530364372469637,0.0,0.0,0.08340146360090898,0.0,0.0,0.0,0.0,0.0,0.0,0.012476007677543186,0.5737589334097851,0.01890547263681592,0.002028397565922921,0.0,0.012131531339789295,0.6472742840633362,0.24807880658082654,0.6391021329650955,0.3963220330519727,0.0,0.030612244897959183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09333437583951819,0.0
ppc32-sha256-asm_cr__gcc_O2_debug.o,wolfssl,SHA256,x86_64,O2,gcc,gcc (cached build),debug,direct_compile,object,wolfssl,0,0,0,8.0,35.0,3080,0,34.0,13.0,0.823529,34.0,0,0,GCC: (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,1.0,0,False,False,False,False,0,3.134781,0,0.0,0,1,0,0.0,197.0,3.1133629999999997,19.0,False,6.0,0,0,114.0,4.617368,0.25608,5.471439,0.407609,likely_debug_or_unoptimized,0.0,3.0,False,0,19,0,0,0,0,0,0,0,0,1,35,1,0.09551399999999999,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0,2,1,1,0,0,0,4,0.0,0.0026050146532074245,0.027530364372469637,0.00457474618517843,0.0,0.027530364372469637,0.013171225937183385,0.022686749311294767,0.027530364372469637,0.0,0.0,0.2702887942328794,0.0,0.0,0.0,0.0,0.0,0.0,0.012476007677543186,0.5737589334097851,0.01890547263681592,0.002028397565922921,0.0,0.012131531339789295,0.6472742840633362,0.24807880658082654,0.6391021329650955,0.3963220330519727,0.0,0.030612244897959183,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.013946280991735538,0.0,0.09333437583951819,0.0
salsa20_xmm6int-neon__clang_O1_release.o,libsodium,ChaCha20,x86_64,O1,clang,clang (cached build),release,direct_compile,object,libsodium,0,0,0,8.0,35.0,688,0,34.0,13.0,0.823529,34.0,0,1,Ubuntu clang version 18.1.3 (1ubuntu1),1.0,0,False,False,False,False,0,2.144202,0,0.0,0,1,0,0.0,197.0,3.1133629999999997,19.0,False,6.0,0,0,114.0,4.617368,0.25608,5.471439,0.407609,likely_release_or_stripped,0.0,3.0,False,0,7,0,0,0,0,0,0,0,0,0,8,1,0.09551399999999999,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0.0,0.0026050146532074245,0.027530364372469637,3.0396984619125783e-05,0.0,0.027530364372469637,0.013171225937183385,0.022686749311294767,0.027530364372469637,0.0,0.0,0.09311510184662687,0.0,0.0,0.0,0.0,0.0,0.0,0.012476007677543186,0.5737589334097851,0.01890547263681592,0.002028397565922921,0.0,0.012131531339789295,0.6472742840633362,0.24807880658082654,0.6391021329650955,0.3963220330519727,0.0,0.030612244897959183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09333437583951819,0.0
ecc_rfc6979_key__gcc_O2_release.o,libtomcrypt,ECC,x86_64,O2,gcc,gcc (cached build),release,direct_compile,object,libtomcrypt,0,0,0,19.0,74.0,5368,0,73.0,35.0,1.666667,73.0,0,0,GCC: (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,1.0,0,False,False,False,False,0,4.358633,0,0.0,1,21,0,0.0,409.0,3.084053,38.0,False,17.0,0,0,261.0,5.103063,0.215686,6.481048,0.398034,likely_release_or_stripped,0.0,1.0,False,0,15,0,0,0,0,0,0,0,0,0,73,21,0.06357,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,1,1,0,0,1,0.0,0.006186909801367633,0.05910931174089069,0.008921514985713417,0.0,0.05910931174089069,0.03546099290780142,0.0459136914600551,0.05910931174089069,0.0,0.0,0.489185396900915,0.0,0.0,0.013157894736842105,0.09389671361502347,0.0,0.0,0.02603966730646193,0.5658015335980913,0.03781094527363184,0.005747126436781609,0.0,0.02777482175162286,0.7153602333310016,0.20725035098482955,0.7570314867165963,0.38656459829430867,0.0,0.01020408163265306,0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.033574380165289255,0.09389671361502347,0.061313397407367305,0.0
thumb2-sha3-asm_c__clang_O0_debug.o,wolfssl,SHA3,x86_64,O0,clang,clang (cached build),debug,direct_compile,object,wolfssl,0,0,0,8.0,35.0,688,0,34.0,13.0,0.823529,34.0,0,0,Ubuntu clang version 18.1.3 (1ubuntu1),1.0,0,False,False,False,False,0,2.118766,0,0.0,0,1,0,0.0,197.0,3.1133629999999997,19.0,False,6.0,0,0,114.0,4.617368,0.25608,5.471439,0.407609,likely_release_or_stripped,0.0,3.0,False,0,7,0,0,0,0,0,0,0,0,0,8,1,0.09551399999999999,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0,0,0,0,0,0,0,4,0.0,0.0026050146532074245,0.027530364372469637,3.0396984619125783e-05,0.0,0.027530364372469637,0.013171225937183385,0.022686749311294767,0.027530364372469637,0.0,0.0,0.08856565143475995,0.0,0.0,0.0,0.0,0.0,0.0,0.012476007677543186,0.5737589334097851,0.01890547263681592,0.002028397565922921,0.0,0.012131531339789295,0.6472742840633362,0.24807880658082654,0.6391021329650955,0.3963220330519727,0.0,0.030612244897959183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09333437583951819,0.0
rsa_prn__gcc_O2_release.o,openssl,RSA,x86_64,O2,gcc,gcc (cached build),release,direct_compile,object,openssl,0,0,0,0.0,23.0,2944,0,22.0,15.0,0.9375,22.0,0,0,GCC: (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,1.0,0,False,False,False,False,0,3.434776,0,0.0,2,16,0,0.0,107.0,3.024993,7.0,False,8.0,0,0,63.0,4.786949,0.349057,5.447266,0.504762,likely_release_or_stripped,0.0,3.0,False,1,15,0,0,0,0,0,0,0,0,0,35,16,0.121495,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,2,1,1,1,0,0,3,0.0,0.0,0.017813765182186234,0.004316371815915861,0.0,0.017813765182186234,0.015197568389057751,0.025826446280991736,0.017813765182186234,0.0,0.0,0.32394551605659444,0.0,0.0,0.02631578947368421,0.07042253521126761,0.0,0.0,0.0067178502879078695,0.5497672779556948,0.006965174129353234,0.002704530087897228,0.0,0.006704267319357242,0.6710465760629655,0.34205581593738976,0.63627855842462,0.49532611232208607,0.0,0.030612244897959183,0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.013946280991735538,0.07042253521126761,0.11937798467515907,0.0
aesni__clang_O2_debug.o,libtomcrypt,AES,x86_64,O2,clang,clang (cached build),debug,direct_compile,object,libtomcrypt,0,0,0,18.0,53.0,26088,0,52.0,17.0,0.809524,52.0,0,0,Ubuntu clang version 18.1.3 (1ubuntu1),1.0,0,False,False,False,False,0,4.937834,0,0.0,6,21,0,0.0,757.0,3.335047,35.0,False,180.0,0,0,355.0,4.932785,0.165344,5.78074,0.254305,likely_debug_or_unoptimized,0.0,6.0,False,0,27,0,0,0,0,0,0,0,0,0,275,21,0.055482,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,1,0.0,0.005861282969716704,0.042105263157894736,0.048285610067481305,0.0,0.042105263157894736,0.017223910840932118,0.02230093663911846,0.042105263157894736,0.0,0.0,0.5927805466101354,0.0,0.0,0.07894736842105263,0.09389671361502347,0.0,0.0,0.04830454254638516,0.633944133677801,0.03482587064676617,0.060851926977687626,0.0,0.03777801425987017,0.691490234114622,0.15636690018486715,0.6752306411744052,0.24009709539255458,0.0,0.061224489795918366,0.7407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.13791322314049587,0.09389671361502347,0.05320590700042903,0.0
riscv-64-aes-asm_c__clang_O0_release.o,wolfssl,AES,x86_64,O0,clang,clang (cached build),release,direct_compile,object,wolfssl,0,0,0,8.0,35.0,688,0,34.0,13.0,0.823529,34.0,0,0,Ubuntu clang version 18.1.3 (1ubuntu1),1.0,0,False,False,False,False,0,2.134532,0,0.0,0,1,0,0.0,197.0,3.1133629999999997,19.0,False,6.0,0,0,114.0,4.617368,0.25608,5.471439,0.407609,likely_release_or_stripped,0.0,3.0,False,0,7,0,0,0,0,0,0,0,0,0,8,1,0.09551399999999999,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0,0,0,0,1,0,0,4,0.0,0.0026050146532074245,0.027530364372469637,3.0396984619125783e-05,0.0,0.027530364372469637,0.013171225937183385,0.022686749311294767,0.027530364372469637,0.0,0.0,0.09138553802044537,0.0,0.0,0.0,0.0,0.0,0.0,0.012476007677543186,0.5737589334097851,0.01890547263681592,0.002028397565922921,0.0,0.012131531339789295,0.6472742840633362,0.24807880658082654,0.6391021329650955,0.3963220330519727,0.0,0.030612244897959183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09333437583951819,0.0
x25519_export__gcc_O0_debug.o,libtomcrypt,X25519,x86_64,O0,gcc,gcc (cached build),debug,direct_compile,object,libtomcrypt,0,0,0,1.0,6.0,7432,0,5.0,2.0,0.5,5.0,0,0,GCC: (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,1.0,0,False,False,False,False,1,3.910014,0,0.0,1,4,0,0.0,30.0,2.573557,3.0,False,0.0,0,0,20.0,3.754533,0.62069,4.249868,0.785714,likely_debug_or_unoptimized,0.0,1.0,False,0,23,0,0,0,0,0,0,0,0,0,102,4,0.4,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0.0,0.00032562683165092806,0.004048582995951417,0.012842726001580642,0.0,0.004048582995951417,0.002026342451874367,0.013774104683195593,0.004048582995951417,0.0,0.0,0.40894597661779947,0.0,0.0,0.013157894736842105,0.014084507042253521,0.0,0.0,0.0017914267434420985,0.42720648841656705,0.0029850746268656717,0.0,0.0,0.0021283388315419816,0.5263198990349415,0.6166103507422482,0.4964141432665346,0.7816311577565747,0.0,0.01020408163265306,0.5925925925925926,0.0,0.0,0.0,0.0,0.0,0.0,0.04855371900826446,0.014084507042253521,0.3985541241143709,0.0
ec_key__clang_O2_release.o,openssl,ECC,x86_64,O2,clang,clang (cached build),release,direct_compile,object,openssl,0,0,0,30.0,421.0,20648,0,420.0,196.0,1.543307,420.0,0,0,Ubuntu clang version 18.1.3 (1ubuntu1),1.0,0,False,False,False,False,1,4.487778,0,0.0,47,127,0,0.0,1605.0,3.326936,224.0,False,113.0,0,0,763.0,5.186329,0.078554,6.611058,0.172801,likely_release_or_stripped,0.0,44.0,False,0,11,0,0,0,0,0,0,0,0,0,191,127,0.020561,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,2,0,0,1,0,0,3,0.0,0.00976880494952784,0.340080971659919,0.03795063529697854,0.0,0.340080971659919,0.19858156028368795,0.042515344352617085,0.340080971659919,0.0,0.0,0.5122841063458179,0.0,0.0,0.618421052631579,0.5915492957746479,0.0,0.0,0.10255918106206013,0.6317420705637563,0.2228855721393035,0.03820148749154834,0.0,0.08119612642332659,0.7270326710783975,0.0686434347895961,0.7722175590289792,0.15704018025013683,0.0,0.4489795918367347,0.14814814814814814,0.0,0.0,0.0,0.0,0.0,0.0,0.09452479338842976,0.5915492957746479,0.018200754614092277,0.0
Hacl_Curve25519__clang_O2_debug.o,mbedtls,X25519,x86_64,O2,clang,clang (cached build),debug,direct_compile,object,mbedtls,0,0,0,54.0,205.0,55328,0,204.0,198.0,9.0,204.0,0,0,Ubuntu clang version 18.1.3 (1ubuntu1),1.0,0,False,False,False,False,1,5.131747,0,0.0,1,22,0,0.0,1600.0,2.884932,6.0,False,158.0,0,0,1138.0,4.539988,0.082552,5.721316,0.165207,likely_debug_or_unoptimized,0.0,8.0,False,0,24,0,0,0,0,0,0,0,0,0,322,22,0.020625,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,0,0,0,0,0,2,0.0,0.017583848909150115,0.1651821862348178,0.10383609945893367,0.0,0.1651821862348178,0.2006079027355623,0.24793388429752067,0.1651821862348178,0.0,0.0,0.6274635776573264,0.0,0.0,0.013157894736842105,0.09859154929577464,0.0,0.0,0.10223928342930262,0.5117419836866517,0.005970149253731343,0.05341446923597025,0.0,0.12110247951473875,0.6364269606312812,0.07268443507361838,0.6682895046380538,0.14930148995773987,0.0,0.08163265306122448,0.6296296296296297,0.0,0.0,0.0,0.0,0.0,0.0,0.1621900826446281,0.09859154929577464,0.01826490884085341,0.0
md5_prov__clang_O3_debug.o,openssl,MD5,x86_64,O3,clang,clang (cached build),debug,direct_compile,object,openssl,0,0,0,0.0,18.0,10456,0,17.0,7.0,0.368421,17.0,0,0,Ubuntu clang version 18.1.3 (1ubuntu1),1.0,0,False,False,False,False,0,3.882349,0,0.0,0,19,0,0.0,112.0,3.420524,10.0,False,6.0,0,0,67.0,4.567027,0.342342,5.307839,0.536364,likely_debug_or_unoptimized,0.0,7.0,False,0,25,0,0,0,0,0,0,0,0,0,103,19,0.133929,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,3,0,0,0,0,0,3,0.0,0.0,0.013765182186234818,0.018587756094595415,0.0,0.013765182186234818,0.0070921985815602835,0.010149338842975208,0.013765182186234818,0.0,0.0,0.4039978501181809,0.0,0.0,0.0,0.08450704225352113,0.0,0.0,0.007037747920665387,0.6571503658069091,0.009950248756218905,0.002028397565922921,0.0,0.007129935085665638,0.6402173558016009,0.33526859309916823,0.619992515010278,0.5275302327619501,0.0,0.07142857142857142,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0490702479338843,0.08450704225352113,0.1318419480430956,0.0
aead_aes256gcm_aesni__clang_O0_release.o,libsodium,AES,x86_64,O0,clang,clang (cached build),release,direct_compile,object,libsodium,0,0,1,8.0,35.0,688,0,34.0,13.0,0.823529,34.0,0,0,Ubuntu clang version 18.1.3 (1ubuntu1),1.0,0,False,False,False,False,0,2.147731,0,0.0,0,1,0,0.0,197.0,3.1133629999999997,19.0,False,6.0,0,0,114.0,4.617368,0.25608,5.471439,0.407609,likely_release_or_stripped,0.0,3.0,False,0,7,0,0,0,0,0,0,0,0,0,8,1,0.09551399999999999,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0.0,0.0026050146532074245,0.027530364372469637,3.0396984619125783e-05,0.0,0.027530364372469637,0.013171225937183385,0.022686749311294767,0.027530364372469637,0.0,0.0,0.09374629427088689,0.0,0.0,0.0,0.0,0.0,0.0,0.012476007677543186,0.5737589334097851,0.01890547263681592,0.002028397565922921,0.0,0.012131531339789295,0.6472742840633362,0.24807880658082654,0.6391021329650955,0.3963220330519727,0.0,0.030612244897959183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09333437583951819,0.0
ecc_verify_hash_rfc5656__gcc_O3_debug.o,libtomcrypt,ECC,x86_64,O3,gcc,gcc (cached build),debug,direct_compile,object,libtomcrypt,0,0,0,5.0,22.0,12288,0,21.0,10.0,0.714286,21.0,0,0,GCC: (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,1.0,0,False,False,False,False,1,4.216651,0,0.0,1,14,0,0.0,114.0,3.207527,11.0,False,6.0,0,0,70.0,4.862907,0.389381,5.713574,0.598214,likely_debug_or_unoptimized,0.0,1.0,False,0,25,0,0,0,0,0,0,0,0,0,148,14,0.140351,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3,1,1,0,0,0,1,0.0,0.0016281341582546401,0.01700404858299595,0.022068210833485317,0.0,0.01700404858299595,0.010131712259371834,0.019677300275482094,0.01700404858299595,0.0,0.0,0.4637906780623519,0.0,0.0,0.013157894736842105,0.06103286384976526,0.0,0.0,0.007165706973768394,0.5993236074414583,0.010945273631840797,0.002028397565922921,0.0,0.0074491859103969355,0.6816945599509473,0.38281351865197566,0.6673851851869158,0.5905586755568871,0.0,0.01020408163265306,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.07231404958677685,0.06103286384976526,0.13827942373465812,0.0
stream_salsa208__gcc_O2_release.o,libsodium,ChaCha20,x86_64,O2,gcc,gcc (cached build),release,direct_compile,object,libsodium,0,0,0,0.0,2.0,1744,0,1.0,0.0,0.0,1.0,0,1,GCC: (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,1.0,0,False,False,False,False,0,2.678383,0,0.0,4,6,0,0.0,15.0,2.206239,1.0,False,0.0,0,0,4.0,2.217022,0.357143,2.237397,0.384615,likely_release_or_stripped,0.0,3.0,False,0,13,0,0,0,0,0,0,0,0,0,17,6,0.333333,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,1,1,0,0,0,0.0,0.0,0.0008097165991902834,0.0020365979694814272,0.0,0.0008097165991902834,0.0,0.0,0.0008097165991902834,0.0,0.0,0.18865803196384198,0.0,0.0,0.05263157894736842,0.023474178403755867,0.0,0.0,0.0008317338451695458,0.32748297480238175,0.0009950248756218905,0.0,0.0,0.0004256677663083963,0.3107877318426137,0.35022878449582,0.2613435322937359,0.3728899228882414,0.0,0.030612244897959183,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0046487603305785125,0.023474178403755867,0.33172647043492554,0.0
md5_sha1__gcc_O3_debug.o,openssl,SHA1,x86_64,O3,gcc,gcc (cached build),debug,direct_compile,object,openssl,0,0,0,6.0,47.0,13832,0,46.0,20.0,1.333333,46.0,0,0,GCC: (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,1.0,0,False,False,False,False,0,4.027808,0,0.0,4,15,0,0.0,194.0,3.5863,26.0,False,5.0,0,0,100.0,5.040097,0.290155,5.862805,0.463542,likely_debug_or_unoptimized,0.0,4.0,False,0,25,0,0,0,0,0,0,0,0,0,110,15,0.097938,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,3,1,1,0,0,0,3,0.0,0.0019537609899055682,0.03724696356275304,0.025001519849230956,0.0,0.03724696356275304,0.020263424518743668,0.036730936639118465,0.03724696356275304,0.0,0.0,0.4300144607275437,0.0,0.0,0.05263157894736842,0.06572769953051644,0.0,0.0,0.012284069097888676,0.7021570499141545,0.025870646766169153,0.0016903313049357674,0.0,0.010641694157709908,0.7065335007486448,0.2825202984962991,0.6848164039950783,0.4533207378353067,0.0,0.04081632653061224,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.05268595041322314,0.06572769953051644,0.09576421717809613,0.0
